,Month,Unigram Top 30,Bigram Top 20,Trigram Top 10,Trigram Top 1
10,201111,"[('great', 6), ('oc', 4), ('processor', 4), ('slightly', 2), ('stock', 2), ('fan', 2), ('stink', 2), ('core', 2), ('quad', 2), ('affordable', 2), ('cpu', 2), ('high', 2), ('performance', 2), ('computing', 2), ('easy', 2), ('m', 2), ('sandy', 2), ('beware', 2), ('new', 2), ('used', 2), ('good', 2), ('deal', 2), ('perfect', 2), ('application', 2), ('holy', 2), ('crap', 2), ('love', 2), ('chip', 2), ('review', 2)]","[('great processor', 4), ('oc slightly', 2), ('slightly great', 2), ('stock fan', 2), ('fan stinks', 2), ('core quad', 2), ('affordable cpu', 2), ('cpu high', 2), ('high performance', 2), ('performance computing', 2), ('easy oc', 2), ('oc ms', 2), ('ms sandy', 2), ('beware new', 2), ('new used', 2), ('great deal', 2), ('perfect application', 2), ('holy crap', 2), ('crap love', 2), ('love chip', 2)]",,"[('oc slightly great', 2), ('slightly great processor', 2), ('stock fan stinks', 2), ('affordable cpu high', 2), ('cpu high performance', 2), ('high performance computing', 2), ('easy oc ms', 2), ('oc ms sandy', 2), ('beware new used', 2), ('holy crap love', 2)]"
11,201112,"[('intel', 8), ('fast', 4), ('value', 4), ('core', 4), ('cpu', 4), ('processor', 4), ('stable', 2), ('typical', 2), ('quality', 2), ('tight', 2), ('squeeze', 2), ('mobo', 2), ('good', 2), ('deal', 2), ('customer', 2), ('support', 2), ('top', 2), ('notch', 2), ('outstanding', 2), ('price', 2), ('inter', 2), ('scream', 2), ('hold', 2), ('get', 2), ('k', 2), ('nice', 2), ('bring', 2), ('fan', 2), ('great', 2), ('five', 2)]","[('fast stable', 2), ('stable typical', 2), ('typical intel', 2), ('intel quality', 2), ('tight squeeze', 2), ('squeeze mobo', 2), ('mobo good', 2), ('good deal', 2), ('intel customer', 2), ('customer support', 2), ('support top', 2), ('top notch', 2), ('outstanding value', 2), ('value price', 2), ('inter core', 2), ('cpu screams', 2), ('screams holds', 2), ('holds value', 2), ('value get', 2), ('get k', 2)]",,"[('fast stable typical', 2), ('stable typical intel', 2), ('typical intel quality', 2), ('tight squeeze mobo', 2), ('squeeze mobo good', 2), ('mobo good deal', 2), ('intel customer support', 2), ('customer support top', 2), ('support top notch', 2), ('outstanding value price', 2)]"
12,201201,"[('processor', 8), ('fast', 6), ('cpu', 4), ('good', 4), ('best', 4), ('excellent', 4), ('fastest', 2), ('actually', 2), ('afford', 2), ('supposed', 2), ('game', 2), ('machine', 2), ('thing', 2), ('loved', 2), ('amazing', 2), ('blazing', 2), ('overclock', 2), ('minimal', 2), ('hassle', 2), ('available', 2), ('state', 2), ('one', 2), ('pal', 2), ('must', 2), ('buy', 2), ('bang', 2), ('buck', 2), ('beast', 2), ('love', 2), ('nice', 2)]","[('fastest processor', 2), ('processor actually', 2), ('actually afford', 2), ('supposed cpu', 2), ('game machines', 2), ('thing fast', 2), ('amazing processor', 2), ('blazing fast', 2), ('fast processor', 2), ('processor good', 2), ('good overclock', 2), ('overclock minimal', 2), ('minimal hassle', 2), ('best cpu', 2), ('cpu available', 2), ('available states', 2), ('states one', 2), ('one pals', 2), ('must buy', 2), ('buy best', 2)]",,"[('fastest processor actually', 2), ('processor actually afford', 2), ('blazing fast processor', 2), ('fast processor good', 2), ('processor good overclock', 2), ('good overclock minimal', 2), ('overclock minimal hassle', 2), ('best cpu available', 2), ('cpu available states', 2), ('available states one', 2)]"
13,201202,"[('processor', 4), ('shipping', 4), ('cpu', 4), ('one', 2), ('intel', 2), ('best', 2), ('yet', 2), ('thing', 2), ('ho', 2), ('slow', 2), ('dont', 2), ('pay', 2), ('expedited', 2), ('excellent', 2), ('much', 2), ('faster', 2), ('get', 2), ('great', 2), ('fantastic', 2), ('sandy', 2), ('bridge', 2), ('really', 2), ('good', 2), ('star', 2), ('purchase', 2), ('nice', 2), ('upgrade', 2), ('pc', 2)]","[('one intel', 2), ('intel best', 2), ('best processors', 2), ('processors yet', 2), ('thing hoss', 2), ('shipping slow', 2), ('slow dont', 2), ('dont pay', 2), ('pay expedited', 2), ('expedited shipping', 2), ('excellent cpu', 2), ('much faster', 2), ('faster get', 2), ('great cpu', 2), ('fantastic processor', 2), ('sandy bridge', 2), ('really good', 2), ('stars purchase', 2), ('nice upgrade', 2), ('upgrade pc', 2)]",,"[('one intel best', 2), ('intel best processors', 2), ('best processors yet', 2), ('shipping slow dont', 2), ('slow dont pay', 2), ('dont pay expedited', 2), ('pay expedited shipping', 2), ('much faster get', 2), ('nice upgrade pc', 2)]"
14,201203,"[('great', 6), ('cpu', 6), ('fast', 6), ('processor', 6), ('price', 4), ('super', 2), ('might', 2), ('overkill', 2), ('multiple', 2), ('program', 2), ('bet', 2), ('ever', 2), ('love', 2), ('run', 2), ('like', 2), ('scalded', 2), ('dog', 2), ('excellent', 2), ('performance', 2), ('older', 2), ('delivery', 2), ('intel', 2), ('core', 2), ('five', 2), ('star', 2), ('many', 2), ('obvious', 2), ('stregnths', 2), ('much', 2), ('value', 2)]","[('great cpu', 2), ('cpu super', 2), ('super fast', 2), ('fast might', 2), ('might overkill', 2), ('fast processor', 2), ('processor multiple', 2), ('multiple programs', 2), ('processor bets', 2), ('bets ever', 2), ('ever love', 2), ('runs like', 2), ('like scalded', 2), ('scalded dog', 2), ('excellent performance', 2), ('great older', 2), ('older cpu', 2), ('great price', 2), ('price fast', 2), ('fast delivery', 2)]",,"[('great cpu super', 2), ('cpu super fast', 2), ('super fast might', 2), ('fast might overkill', 2), ('fast processor multiple', 2), ('processor multiple programs', 2), ('processor bets ever', 2), ('bets ever love', 2), ('runs like scalded', 2), ('like scalded dog', 2)]"
15,201204,"[('great', 8), ('processor', 4), ('cpu', 4), ('choice', 2), ('fantastic', 2), ('used', 2), ('good', 2), ('brand', 2), ('new', 2), ('box', 2), ('sandy', 2), ('bridge', 2), ('obvious', 2), ('strength', 2), ('overpriced', 2), ('icon', 2), ('juggernaut', 2), ('among', 2), ('intel', 2), ('product', 2), ('run', 2), ('fast', 2), ('low', 2), ('power', 2), ('mini', 2), ('itx', 2), ('system', 2), ('awesome', 2), ('scared', 2), ('higher', 2)]","[('great choice', 2), ('fantastic processor', 2), ('used good', 2), ('good brand', 2), ('brand new', 2), ('new box', 2), ('sandy bridge', 2), ('bridge obvious', 2), ('obvious strengths', 2), ('strengths overpriced', 2), ('icon juggernaut', 2), ('juggernaut among', 2), ('among intel', 2), ('intel cpus', 2), ('great product', 2), ('runs fast', 2), ('fast low', 2), ('low power', 2), ('power mini', 2), ('mini itx', 2)]",,"[('used good brand', 2), ('good brand new', 2), ('brand new box', 2), ('sandy bridge obvious', 2), ('bridge obvious strengths', 2), ('obvious strengths overpriced', 2), ('icon juggernaut among', 2), ('juggernaut among intel', 2), ('among intel cpus', 2), ('runs fast low', 2)]"
16,201205,"[('great', 14), ('processor', 10), ('good', 6), ('cpu', 6), ('fast', 4), ('fantastic', 4), ('core', 4), ('perfect', 4), ('htpc', 4), ('stable', 2), ('extremely', 2), ('fence', 2), ('go', 2), ('overclocking', 2), ('quad', 2), ('hyperthreading', 2), ('virtual', 2), ('machine', 2), ('support', 2), ('performance', 2), ('dual', 2), ('work', 2), ('perfectly', 2), ('upgrading', 2), ('mom', 2), ('old', 2), ('pc', 2), ('cooler', 2), ('five', 2), ('star', 2)]","[('great processor', 6), ('stable extremely', 2), ('extremely fast', 2), ('fantastic processor', 2), ('processor overclocking', 2), ('quad core', 2), ('core hyperthreading', 2), ('hyperthreading virtual', 2), ('virtual machine', 2), ('machine support', 2), ('performance good', 2), ('good dual', 2), ('dual core', 2), ('core processor', 2), ('processor perfect', 2), ('perfect htpc', 2), ('works perfectly', 2), ('perfect upgrading', 2), ('upgrading moms', 2), ('moms old', 2)]",,"[('stable extremely fast', 2), ('great processor overclocking', 2), ('quad core hyperthreading', 2), ('core hyperthreading virtual', 2), ('hyperthreading virtual machine', 2), ('virtual machine support', 2), ('performance good dual', 2), ('good dual core', 2), ('dual core processor', 2), ('great processor perfect', 2)]"
17,201206,"[('great', 12), ('processor', 6), ('cpu', 6), ('gaming', 4), ('fast', 4), ('best', 4), ('good', 4), ('foundation', 2), ('gp', 2), ('system', 2), ('take', 2), ('lickin', 2), ('keep', 2), ('quietly', 2), ('job', 2), ('fastest', 2), ('ivy', 2), ('bridge', 2), ('money', 2), ('value', 2), ('product', 2), ('wish', 2), ('would', 2), ('gone', 2), ('usage', 2), ('former', 2), ('top', 2), ('quad', 2), ('core', 2), ('faster', 2)]","[('great processor', 2), ('great foundation', 2), ('foundation great', 2), ('great gp', 2), ('gp gaming', 2), ('gaming system', 2), ('takes lickin', 2), ('lickin keeps', 2), ('keeps quietly', 2), ('quietly job', 2), ('fast fast', 2), ('fastest ivy', 2), ('ivy bridge', 2), ('bridge processor', 2), ('best money', 2), ('best cpu', 2), ('cpu value', 2), ('great product', 2), ('good cpu', 2), ('good processor', 2)]",,"[('great foundation great', 2), ('foundation great gp', 2), ('great gp gaming', 2), ('gp gaming system', 2), ('takes lickin keeps', 2), ('lickin keeps quietly', 2), ('keeps quietly job', 2), ('fastest ivy bridge', 2), ('ivy bridge processor', 2), ('best cpu value', 2)]"
18,201207,"[('five', 2), ('star', 2), ('awesome', 2), ('excellent', 2), ('processor', 2), ('cpu', 2), ('beast', 2)]","[('five stars', 2), ('excellent processor', 2), ('cpu beast', 2)]",,[]
19,201208,"[('great', 6), ('five', 4), ('star', 4), ('processor', 2), ('cpu', 2), ('chip', 2), ('extremely', 2), ('powerful', 2), ('absolutely', 2), ('delightful', 2)]","[('five stars', 4), ('great processor', 2), ('great cpu', 2), ('great chip', 2), ('extremely powerful', 2), ('absolutely delightful', 2)]",,[]
