,name,star,five,great,cpu,processor,good,fast,best,gaming,intel,work,price,amazing,performance,product,excellent,love,core,awesome,buy,one,run,four,value,budget,perfect,nice,chip,worth,get,five stars,great cpu,great processor,four stars,works great,great product,good cpu,best cpu,great value,intel core,gaming cpu,great performance,bang buck,great gaming,best processor,good processor,three stars,one star,great price,super fast,best bang buck,intel core processor,worth every penny,best gaming cpu,great cpu gaming,great bang buck,great gaming cpu,best processor ever,fast fast fast,best budget cpu
71,201612,0.1518987341772152,0.1341772151898734,0.02531645569620253,0.03291139240506329,0.030379746835443037,0.02278481012658228,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.005063291139240506,0.005063291139240506,0.012658227848101266,0.010126582278481013,0.005063291139240506,0.010126582278481013,0.007594936708860759,0.005063291139240506,0.002531645569620253,0.010126582278481013,0.002531645569620253,0.007594936708860759,0.002531645569620253,0.015189873417721518,0.0,0.002531645569620253,0.005063291139240506,0.007594936708860759,0.0,0.002531645569620253,0.005063291139240506,0.20622568093385213,0.0,0.011673151750972763,0.023346303501945526,0.0,0.011673151750972763,0.0038910505836575876,0.0,0.0,0.0038910505836575876,0.0038910505836575876,0.0,0.007782101167315175,0.0,0.007782101167315175,0.0038910505836575876,0.0,0.0038910505836575876,0.0038910505836575876,0.0,0.007751937984496124,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,201701,0.1206896551724138,0.10919540229885058,0.04885057471264368,0.014367816091954023,0.022988505747126436,0.011494252873563218,0.022988505747126436,0.008620689655172414,0.011494252873563218,0.008620689655172414,0.011494252873563218,0.011494252873563218,0.005747126436781609,0.0028735632183908046,0.0028735632183908046,0.0,0.005747126436781609,0.011494252873563218,0.0,0.020114942528735632,0.0,0.014367816091954023,0.008620689655172414,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.0,0.0028735632183908046,0.0028735632183908046,0.0,0.17117117117117117,0.009009009009009009,0.013513513513513514,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0
73,201702,0.099601593625498,0.08366533864541832,0.043824701195219126,0.02390438247011952,0.035856573705179286,0.027888446215139442,0.03187250996015936,0.01195219123505976,0.00398406374501992,0.00398406374501992,0.01593625498007968,0.01195219123505976,0.00796812749003984,0.0,0.01593625498007968,0.00398406374501992,0.0,0.00398406374501992,0.00398406374501992,0.0,0.01195219123505976,0.00796812749003984,0.00796812749003984,0.0,0.01195219123505976,0.00398406374501992,0.00398406374501992,0.01195219123505976,0.0,0.00796812749003984,0.125,0.005952380952380952,0.011904761904761904,0.011904761904761904,0.005952380952380952,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.010752688172043012
74,201703,0.13478260869565217,0.11304347826086956,0.030434782608695653,0.02608695652173913,0.02608695652173913,0.02608695652173913,0.004347826086956522,0.004347826086956522,0.008695652173913044,0.013043478260869565,0.0,0.0,0.013043478260869565,0.004347826086956522,0.0,0.0,0.013043478260869565,0.004347826086956522,0.004347826086956522,0.0,0.013043478260869565,0.0,0.017391304347826087,0.004347826086956522,0.0,0.008695652173913044,0.004347826086956522,0.004347826086956522,0.004347826086956522,0.004347826086956522,0.1780821917808219,0.0,0.0136986301369863,0.0273972602739726,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.00684931506849315,0.00684931506849315,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,201704,0.1377245508982036,0.11976047904191617,0.04790419161676647,0.05389221556886228,0.029940119760479042,0.005988023952095809,0.017964071856287425,0.029940119760479042,0.023952095808383235,0.011976047904191617,0.023952095808383235,0.0,0.011976047904191617,0.005988023952095809,0.0,0.005988023952095809,0.0,0.011976047904191617,0.005988023952095809,0.0,0.017964071856287425,0.0,0.011976047904191617,0.0,0.0,0.005988023952095809,0.005988023952095809,0.0,0.0,0.0,0.19607843137254902,0.0196078431372549,0.00980392156862745,0.0196078431372549,0.0196078431372549,0.0,0.0,0.00980392156862745,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,201705,0.08376963350785341,0.07329842931937172,0.07329842931937172,0.031413612565445025,0.03664921465968586,0.010471204188481676,0.010471204188481676,0.005235602094240838,0.005235602094240838,0.0,0.031413612565445025,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.010471204188481676,0.005235602094240838,0.005235602094240838,0.0,0.015706806282722512,0.0,0.010471204188481676,0.005235602094240838,0.0,0.0,0.010471204188481676,0.010471204188481676,0.0,0.005235602094240838,0.0,0.010471204188481676,0.1044776119402985,0.0,0.022388059701492536,0.0,0.014925373134328358,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.007462686567164179,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.007462686567164179,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,201706,0.0967741935483871,0.08602150537634409,0.04838709677419355,0.03763440860215054,0.05913978494623656,0.021505376344086023,0.005376344086021506,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.010752688172043012,0.005376344086021506,0.0,0.0,0.005376344086021506,0.0,0.005376344086021506,0.016129032258064516,0.005376344086021506,0.005376344086021506,0.0,0.005376344086021506,0.010752688172043012,0.005376344086021506,0.010752688172043012,0.005376344086021506,0.026881720430107527,0.005376344086021506,0.0,0.0,0.128,0.008,0.008,0.016,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,201707,0.14285714285714285,0.11278195488721804,0.045112781954887216,0.045112781954887216,0.022556390977443608,0.045112781954887216,0.0,0.03759398496240601,0.0,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.015037593984962405,0.015037593984962405,0.007518796992481203,0.0,0.007518796992481203,0.0,0.015037593984962405,0.0,0.0,0.0,0.0,0.007518796992481203,0.18072289156626506,0.03614457831325301,0.0,0.012048192771084338,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.024096385542168676,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,201708,0.11023622047244094,0.08661417322834646,0.10236220472440945,0.031496062992125984,0.031496062992125984,0.03937007874015748,0.031496062992125984,0.0,0.015748031496062992,0.0,0.031496062992125984,0.023622047244094488,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.0,0.007874015748031496,0.007874015748031496,0.0,0.0,0.14285714285714285,0.025974025974025976,0.025974025974025976,0.012987012987012988,0.025974025974025976,0.012987012987012988,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.012987012987012988,0.0,0.012987012987012988,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0
80,201709,0.07377049180327869,0.07377049180327869,0.02459016393442623,0.03278688524590164,0.02459016393442623,0.03278688524590164,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.03278688524590164,0.00819672131147541,0.00819672131147541,0.0,0.0,0.00819672131147541,0.0,0.00819672131147541,0.01639344262295082,0.00819672131147541,0.0,0.01639344262295082,0.02459016393442623,0.0,0.0,0.00819672131147541,0.01639344262295082,0.0,0.0,0.01639344262295082,0.0,0.1111111111111111,0.024691358024691357,0.0,0.0,0.0,0.012345679012345678,0.012345679012345678,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
